random_state_test_split,random_state_rf,score
0,0,0.9245170316914911
0,1,0.9250505616306874
0,2,0.9141650771904354
0,3,0.9223276619556398
0,4,0.9218262142298362
0,5,0.9271149819292476
0,6,0.9240250880458589
0,7,0.9190181392981145
0,8,0.9088658826371929
0,9,0.9177444381171384
0,10,0.9219524910246146
0,11,0.9329883214434974
0,12,0.9211614749273411
0,13,0.9185564397162058
0,14,0.9351210237288934
0,15,0.9300719315876154
0,16,0.919576328150246
0,17,0.9215973640645468
0,18,0.926287754355427
0,19,0.9144467099983251
0,20,0.9144126917908699
0,21,0.9248755872745604
0,22,0.91722442996599
0,23,0.9232847978726249
0,24,0.926709569672381
0,25,0.918247604384739
0,26,0.9212673051643785
0,27,0.9229034765630897
0,28,0.9252145735602836
0,29,0.9229260523986376
0,30,0.9232305317058856
0,31,0.9231219276613678
0,32,0.9329344587761695
0,33,0.9194789242448524
0,34,0.9207392069579379
0,35,0.9269601822752672
0,36,0.9133773974656393
0,37,0.9326663252734838
0,38,0.9203505273484889
0,39,0.922436194246171
0,40,0.9281808303430948
0,41,0.9202401780382966
0,42,0.9234112698300867
0,43,0.9259839096785294
0,44,0.9188891418322434
0,45,0.9375768862995919
0,46,0.9220663188194742
0,47,0.926115834198125
0,48,0.9245197025009179
0,49,0.919543319609315
0,50,0.9264776665644715
0,51,0.9197680628761894
0,52,0.9290494927358064
0,53,0.9059323121948967
0,54,0.9227934843908373
0,55,0.9211067979172243
0,56,0.9279866964271096
0,57,0.9233711868915178
0,58,0.93514198193776
0,59,0.9217211252395021
0,60,0.928502379959158
0,61,0.9273320930220967
0,62,0.9171332412249146
0,63,0.9281247165353617
0,64,0.9261577623082256
0,65,0.912875043812204
0,66,0.9251593704258445
0,67,0.9224573523204361
0,68,0.9217430185586035
0,69,0.9279847852672493
0,70,0.917632459455687
0,71,0.9173090318886638
0,72,0.9185677836854067
0,73,0.9272943139630596
0,74,0.9073811142436298
0,75,0.9233515711145955
0,76,0.9234332969511001
0,77,0.9256831638010944
0,78,0.9198529358491979
0,79,0.9251935233907864
0,80,0.9227912460057419
0,81,0.9231743885115503
0,82,0.9148965867285991
0,83,0.9299542205524722
0,84,0.911255711462527
0,85,0.928854376521382
0,86,0.930377270503971
0,87,0.9203032161755145
0,88,0.9247880538209199
0,89,0.9228775763373251
0,90,0.9292912786213073
0,91,0.918672794404521
0,92,0.926354347734644
0,93,0.9267018300445331
0,94,0.9122353293218068
0,95,0.9274853994566143
0,96,0.9177532304875232
0,97,0.9255884006206341
0,98,0.9256447438951038
0,99,0.9268627943462214
0,100,0.9186207361303858
1,0,0.8926614767654513
1,1,0.8992935636744568
1,2,0.8925668968972909
1,3,0.8993626574006495
1,4,0.8842828672123418
1,5,0.8930612411812753
1,6,0.9048628676348962
1,7,0.8899623768818073
1,8,0.8942416654610469
1,9,0.8821899318241491
1,10,0.8939605962675695
1,11,0.8948389469147644
1,12,0.9036519225147568
1,13,0.9068443242199393
1,14,0.8899510301139492
1,15,0.8986052966823144
1,16,0.9014065416453971
1,17,0.8897071700694047
1,18,0.891045361032922
1,19,0.8982916171642039
1,20,0.8905982354276746
1,21,0.9013348439822542
1,22,0.8783358583364234
1,23,0.8817634739401895
1,24,0.8852367063392262
1,25,0.8955296899695667
1,26,0.8974712022556026
1,27,0.8826470594443037
1,28,0.8974273272217494
1,29,0.8940169924509482
1,30,0.8900187225590275
1,31,0.8962306610006218
1,32,0.9003955110976614
1,33,0.896731708169045
1,34,0.8985674816107849
1,35,0.9038829979042073
1,36,0.8986680022015445
1,37,0.8900047215901511
1,38,0.9012949186268391
1,39,0.8844892729306633
1,40,0.9008719594871629
1,41,0.8938555413394026
1,42,0.895636239363568
1,43,0.8895188226581204
1,44,0.8976508569689144
1,45,0.8979152741295885
1,46,0.8977388225477212
1,47,0.8832562876774296
1,48,0.8998133693264674
1,49,0.9023296896312395
1,50,0.8918320257633999
1,51,0.8947595587281786
1,52,0.8908689412153634
1,53,0.9054994952119247
1,54,0.879898674940972
1,55,0.9033901035111193
1,56,0.9081100240480855
1,57,0.8917107047251619
1,58,0.8930481298551317
1,59,0.8942224851446164
1,60,0.9022345797056353
1,61,0.896396890739199
1,62,0.8939427793652432
1,63,0.8973614892111045
1,64,0.8915296503144119
1,65,0.8872406377411848
1,66,0.8887175892965771
1,67,0.8992415985667428
1,68,0.8875530555333444
1,69,0.8944363915066267
1,70,0.9046012925274857
1,71,0.8896438202360385
1,72,0.8849185348293953
1,73,0.8927994187480205
1,74,0.8910284151121756
1,75,0.8893116328183215
1,76,0.8825900324433417
1,77,0.8888727641680786
1,78,0.9068095439058181
1,79,0.9045718321752287
1,80,0.9010018796149947
1,81,0.8963976031312392
1,82,0.8981194378667193
1,83,0.9000181737362879
1,84,0.8845269800802054
1,85,0.8969473091049731
1,86,0.8822466870985483
1,87,0.8978287815512467
1,88,0.8823914588916585
1,89,0.8987261203352569
1,90,0.9016691433784911
1,91,0.8923666750311753
1,92,0.8909142714459327
1,93,0.8893860309117066
1,94,0.8910539753439645
1,95,0.9004748091559216
1,96,0.8879042743716647
1,97,0.9109067678502648
1,98,0.9006310369602887
1,99,0.8902211764402692
1,100,0.9028169840140351
2,0,0.5661119077161876
2,1,0.5874365594524147
2,2,0.4457667825315753
2,3,0.5043714660481752
2,4,0.4167211478243653
2,5,0.5573147243145051
2,6,0.38048082209856804
2,7,0.5051851585141032
2,8,0.5739575259714111
2,9,0.5229988032911388
2,10,0.5340651745470864
2,11,0.515467525067281
2,12,0.5039621576151663
2,13,0.4321332445139243
2,14,0.41110133703915575
2,15,0.31691897452332407
2,16,0.5771775742634622
2,17,0.5368008907800044
2,18,0.4083791075025158
2,19,0.48728496910891805
2,20,0.5262474884330918
2,21,0.4402288300781845
2,22,0.5036028142161653
2,23,0.38673094216137194
2,24,0.4164326677940703
2,25,0.5454297491458414
2,26,0.49945294953546104
2,27,0.44271451544098916
2,28,0.5336799746407279
2,29,0.44482473977842785
2,30,0.4516682726795571
2,31,0.4492026553733842
2,32,0.41560680982782416
2,33,0.4966568233712807
2,34,0.47841632411662416
2,35,0.42218380591944493
2,36,0.5199415864250656
2,37,0.4815187730762278
2,38,0.5145354406044509
2,39,0.5265998586649951
2,40,0.4801322721034891
2,41,0.4290934421776271
2,42,0.47664756758031923
2,43,0.35840919081461853
2,44,0.4178614961946977
2,45,0.5199019481149683
2,46,0.5082381241431776
2,47,0.4977082811355932
2,48,0.5469477845481305
2,49,0.44076211221676354
2,50,0.5273989478150485
2,51,0.4719357919405469
2,52,0.5675211106585815
2,53,0.4831016490520563
2,54,0.40503915703015014
2,55,0.4548066365082454
2,56,0.4937560288048025
2,57,0.44283017580303174
2,58,0.48203254752129554
2,59,0.49059587645943536
2,60,0.5178975199547908
2,61,0.5698365130346665
2,62,0.5272213982505486
2,63,0.49256563906996276
2,64,0.5531785531742929
2,65,0.5960479359067875
2,66,0.48530675865708983
2,67,0.5231821654967574
2,68,0.5089814102222757
2,69,0.28765185906598545
2,70,0.4357027987644736
2,71,0.4492019755293306
2,72,0.5243954672735761
2,73,0.5477043575484464
2,74,0.424294676410093
2,75,0.629962409149321
2,76,0.5078616730891619
2,77,0.49396075321226895
2,78,0.6111743191993446
2,79,0.47567064814278237
2,80,0.5326463049475534
2,81,0.26107097005481583
2,82,0.3875636423723817
2,83,0.5083154418113753
2,84,0.49467243803535643
2,85,0.4496372862658554
2,86,0.3569330104941716
2,87,0.518907281570601
2,88,0.6180781982867788
2,89,0.4813697387354351
2,90,0.486653552793902
2,91,0.4287057999200141
2,92,0.3621190610776449
2,93,0.49176168099019046
2,94,0.5426044711664885
2,95,0.46587168231856935
2,96,0.4182272006866218
2,97,0.5486457135722679
2,98,0.4510678765403202
2,99,0.4432866062245313
2,100,0.5047209906193839
3,0,0.9166515634238471
3,1,0.9197941120567296
3,2,0.9143025696339546
3,3,0.9195183683961659
3,4,0.9139504100987818
3,5,0.9147887368803358
3,6,0.9269855600218814
3,7,0.9245556010589264
3,8,0.9153138233205033
3,9,0.9112963372546917
3,10,0.9204784252888975
3,11,0.9275000768487697
3,12,0.9290568834269075
3,13,0.9194641513523925
3,14,0.908512773725671
3,15,0.913917898344973
3,16,0.9161972504359104
3,17,0.910112562895063
3,18,0.9168860863396958
3,19,0.919648419703551
3,20,0.9239694271043465
3,21,0.9205827698666348
3,22,0.926360435665567
3,23,0.9058880903323423
3,24,0.9261020519617398
3,25,0.9177429242763229
3,26,0.9170514681382782
3,27,0.913417950900703
3,28,0.9200610353348743
3,29,0.9130023753209598
3,30,0.9225804773730226
3,31,0.9155185830936707
3,32,0.9142243277067523
3,33,0.9223398003668144
3,34,0.9224158535582695
3,35,0.9196166175993106
3,36,0.9116907283535327
3,37,0.9152850947128421
3,38,0.9133033478377051
3,39,0.9283859851651949
3,40,0.9127328560955001
3,41,0.9274908104139965
3,42,0.9192331599104656
3,43,0.9093032620776595
3,44,0.9293530707249528
3,45,0.9140868328385999
3,46,0.9224952212057747
3,47,0.9151112665056753
3,48,0.9132080091774436
3,49,0.9226973859478498
3,50,0.9247522952831085
3,51,0.9148707129075905
3,52,0.9163786975688318
3,53,0.9210396814307403
3,54,0.921298831012006
3,55,0.9160181066440756
3,56,0.9270222806058609
3,57,0.911914666115559
3,58,0.9265739997449727
3,59,0.9209293807583264
3,60,0.9176888771565845
3,61,0.8972434598846526
3,62,0.9094131186922653
3,63,0.8970758611236221
3,64,0.9218026192116757
3,65,0.9074957630748351
3,66,0.9193418405323445
3,67,0.9213771523334121
3,68,0.9165300882903445
3,69,0.9120926179935391
3,70,0.917063578069591
3,71,0.9057996665795116
3,72,0.9153534077341142
3,73,0.9270263969187025
3,74,0.9256509780740763
3,75,0.9237629565182333
3,76,0.9137721063420252
3,77,0.9247892666301394
3,78,0.9226312924051139
3,79,0.9071079492765758
3,80,0.9190420234215113
3,81,0.9293738904647241
3,82,0.8976132447286947
3,83,0.9122624629868029
3,84,0.9091506839106388
3,85,0.9163015554046442
3,86,0.9239260614263678
3,87,0.9102330193160033
3,88,0.905933311184694
3,89,0.9224212123463522
3,90,0.9302909138030867
3,91,0.9249416890463824
3,92,0.9072626517689019
3,93,0.922696752612568
3,94,0.9159383962729712
3,95,0.9144197245457735
3,96,0.912079876968166
3,97,0.9185638657147293
3,98,0.9057270407861497
3,99,0.911198491957666
3,100,0.9049917552910611
