Borough,Year,Crime rate,Primary & Utilities,Manufacturing,Construction,Wholesale,Retail,Transportation and Storage,Accomodation and food service activities,Information and Communication,Financial and insurance activities,"Professional, Real Estate, Scientific and technical activities",Administrative and support service activities,Public Admin and defence,Education,Health,"Arts, entertainment and recreation",Other services,Dwellings per hectare,Average number of homeless people per 1000,Attainment,Happiness score out of 10,Anxiety score out of 10,Worthwhile score out of 10,Life satisfaction score out of 10,Ratio of house prices to earnings,Wage per hour,Population per hectare,Life expectancy of men at 65,Life expectancy of women at 65,% of Public sector jobs,% of Private sector jobs,Consumer expenditure on Alcoholic beverages (£mn),Consumer expenditure on Pubs and Wine bars (£mn)
Ealing,2018,82.0,0.352,9.397,4.699,7.831,10.18,7.048,7.048,5.482,0.979,10.18,11.746,3.524,7.831,9.397,1.958,2.349,24.0,5.22,50.0,7.7,3.23,7.84,7.55,14.16,14.53,63.2,19.8,22.3,12.7,87.3,74.09873586,124.5244744
Enfield,2018,83.0,0.875,4.859,6.803,8.746,12.634,6.803,5.831,2.915,1.458,6.803,9.718,3.401,9.718,15.549,1.944,1.944,15.3,5.89,46.3,7.68,2.63,7.98,7.34,12.94,12.65,41.8,19.4,22.3,19.0,81.0,28.82502543,47.64087621
Greenwich,2018,89.0,1.495,2.99,5.383,2.99,9.569,5.981,9.569,3.589,0.718,7.177,8.373,5.383,13.158,16.746,4.785,2.093,22.4,4.86,44.5,7.45,3.15,7.74,7.47,11.95,15.79,60.5,18.8,20.9,25.1,74.9,38.96584287,62.33607355
Hackney,2018,110.0,0.245,2.044,3.271,2.453,8.994,2.044,9.812,11.447,2.453,20.442,8.177,4.906,8.177,10.63,2.453,2.453,57.8,8.04,49.0,7.3,3.23,7.64,7.34,16.34,15.61,147.9,19.2,21.6,14.0,86.0,38.87479968,69.24470078
Hammersmith and Fulham,2018,117.0,0.439,1.281,2.196,8.785,11.713,1.83,8.785,13.909,1.281,13.177,11.713,3.66,5.857,9.517,4.392,1.464,51.4,2.99,52.9,7.13,3.52,7.61,7.34,20.04,18.72,112.2,18.7,22.2,15.3,84.7,73.03595178,134.2582275
Haringey,2018,115.0,0.617,5.397,5.397,6.168,13.878,4.626,9.252,3.855,1.079,10.794,5.397,2.699,9.252,10.794,7.71,3.084,36.8,3.38,46.3,7.34,3.34,7.73,7.6,15.67,15.39,96.0,19.6,22.8,16.0,84.0,22.43299605,39.72365251
Harrow,2018,59.0,0.704,2.465,7.042,4.93,9.859,2.817,7.042,7.042,1.761,15.493,7.042,2.817,11.268,15.493,2.113,2.113,18.0,3.31,50.7,7.86,2.44,7.8,7.79,13.59,15.33,50.6,21.6,23.4,14.6,85.4,45.46539364,74.17734295
Havering,2018,72.0,0.817,3.501,8.168,5.834,11.669,5.251,8.168,2.334,2.334,5.834,15.169,2.625,8.168,16.336,2.042,1.75,8.9,3.19,46.9,7.33,2.83,7.87,7.58,10.54,15.06,22.9,18.6,21.6,16.9,83.1,23.53597303,35.14895363
Hillingdon,2018,90.0,0.816,4.354,3.81,5.986,7.619,17.415,9.796,3.81,1.224,9.796,13.061,4.354,7.075,8.707,0.816,1.361,9.5,2.32,47.8,7.62,3.17,7.81,7.55,13.56,14.31,26.8,19.4,21.7,12.9,87.1,75.03189975,119.1519074
Hounslow,2018,93.0,0.789,2.208,2.524,6.94,6.94,25.868,6.309,12.618,1.262,8.202,8.833,2.524,5.047,6.94,1.577,1.42,17.8,2.29,49.4,7.42,3.28,7.65,7.34,12.75,14.29,49.7,18.9,21.5,10.4,89.6,58.96353336,96.21764581
Islington,2018,123.0,0.437,1.31,3.057,2.183,6.114,2.183,7.86,14.41,5.24,24.017,13.1,2.183,4.367,8.297,2.62,2.62,69.2,2.06,46.3,7.27,3.35,7.49,7.38,13.09,19.56,160.4,19.0,21.2,8.2,91.8,46.1902986,84.55853698
