Code,Name,Year,Tenure,Number_of_households,Number_Confidence_Intervals,Percent_of_households_in_borough,Percent_Confidence_Intervals
E09000001,City of London,2018,Own.Outright,-,-,-,-
E09000002,Barking and Dagenham,2018,Own.Outright,15800,3400,22,4.7
E09000003,Barnet,2018,Own.Outright,45900,7400,31.7,5.1
E09000004,Bexley,2018,Own.Outright,36400,5000,35.8,5
E09000005,Brent,2018,Own.Outright,22200,4800,21.9,4.7
E09000006,Bromley,2018,Own.Outright,42200,6900,30.8,5
E09000007,Camden,2018,Own.Outright,24500,4900,22,4.4
E09000008,Croydon,2018,Own.Outright,38300,7000,26.2,4.8
E09000009,Ealing,2018,Own.Outright,37200,7300,29.9,5.9
E09000010,Enfield,2018,Own.Outright,37700,6600,30.1,5.3
E09000011,Greenwich,2018,Own.Outright,24700,5300,21.6,4.6
E09000012,Hackney,2018,Own.Outright,11700,3500,11.3,3.4
E09000013,Hammersmith and Fulham,2018,Own.Outright,17300,3400,23.1,4.6
E09000014,Haringey,2018,Own.Outright,27400,4800,25.5,4.4
E09000015,Harrow,2018,Own.Outright,27700,4300,32.4,5.1
E09000016,Havering,2018,Own.Outright,31600,5100,30.8,4.9
E09000017,Hillingdon,2018,Own.Outright,26900,5200,24,4.6
E09000018,Hounslow,2018,Own.Outright,25800,6000,24.3,5.6
E09000019,Islington,2018,Own.Outright,21700,4700,19.9,4.3
E09000020,Kensington and Chelsea,2018,Own.Outright,18900,3200,26.2,4.4
E09000021,Kingston upon Thames,2018,Own.Outright,21800,3500,33.1,5.3
E09000022,Lambeth,2018,Own.Outright,19200,5200,15.7,4.3
E09000023,Lewisham,2018,Own.Outright,17800,4600,14.8,3.9
E09000024,Merton,2018,Own.Outright,23400,4200,28.7,5.1
E09000025,Newham,2018,Own.Outright,21800,5700,18.6,4.9
E09000026,Redbridge,2018,Own.Outright,29000,4900,27.7,4.7
E09000027,Richmond upon Thames,2018,Own.Outright,27400,4300,34.9,5.5
E09000028,Southwark,2018,Own.Outright,16700,4500,13,3.5
E09000029,Sutton,2018,Own.Outright,25600,4000,32.8,5.1
E09000030,Tower Hamlets,2018,Own.Outright,16700,5100,13.7,4.2
E09000031,Waltham Forest,2018,Own.Outright,23200,5000,23,4.9
E09000032,Wandsworth,2018,Own.Outright,26900,5900,20.9,4.6
E09000033,Westminster,2018,Own.Outright,29100,5200,24.9,4.5
E13000001,Inner London,2018,Own.Outright,269700,16900,18.8,1.2
E13000002,Outer London,2018,Own.Outright,562800,23000,28.4,1.2
E12000001,North East,2018,Own.Outright,392000,11500,34.1,1
E12000002,North West,2018,Own.Outright,869100,20700,35.6,0.8
E12000003,Yorkshire and The Humber,2018,Own.Outright,795100,21300,34.7,0.9
E12000004,East Midlands,2018,Own.Outright,675600,23700,34.6,1.2
E12000005,West Midlands,2018,Own.Outright,870400,22500,36.7,0.9
E12000006,East of England,2018,Own.Outright,900500,26800,35.4,1.1
E12000007,London,2018,Own.Outright,834200,28700,24.4,0.8
E12000008,South East,2018,Own.Outright,1346000,29900,36.5,0.8
E12000009,South West,2018,Own.Outright,911600,21500,39,0.9
W92000004,Wales,2018,Own.Outright,559000,10700,41.5,0.8
S92000003,Scotland,2018,Own.Outright,917900,17600,37.1,0.7
N92000002,Northern Ireland,2018,Own.Outright,265900,12200,35.4,1.6
K02000001,UK,2018,Own.Outright,9337300,70800,34.9,0.3
E09000001,City of London,2017,Own.Outright,-,-,-,-
E09000002,Barking and Dagenham,2017,Own.Outright,11800,2900,17.5,4.2
E09000003,Barnet,2017,Own.Outright,46200,7200,32.4,5
E09000004,Bexley,2017,Own.Outright,36500,4700,37.5,4.9
E09000005,Brent,2017,Own.Outright,20500,4200,20,4.1
E09000006,Bromley,2017,Own.Outright,47100,6600,34.9,4.9
E09000007,Camden,2017,Own.Outright,24600,4700,22.6,4.3
E09000008,Croydon,2017,Own.Outright,35800,6300,24.1,4.3
E09000009,Ealing,2017,Own.Outright,35800,6500,30.2,5.5
E09000010,Enfield,2017,Own.Outright,35200,6300,27.8,4.9
E09000011,Greenwich,2017,Own.Outright,16800,4300,15.7,4
E09000012,Hackney,2017,Own.Outright,14500,4000,12.9,3.5
E09000013,Hammersmith and Fulham,2017,Own.Outright,18400,3500,24.4,4.6
E09000014,Haringey,2017,Own.Outright,20000,3900,20.4,4
E09000015,Harrow,2017,Own.Outright,28900,4500,32.4,5.1
E09000016,Havering,2017,Own.Outright,37800,5200,37.4,5.2
E09000017,Hillingdon,2017,Own.Outright,27300,5000,25.7,4.7
E09000018,Hounslow,2017,Own.Outright,24100,5100,25.4,5.4
E09000019,Islington,2017,Own.Outright,16700,4000,16.1,3.8
E09000020,Kensington and Chelsea,2017,Own.Outright,19200,3000,27.9,4.4
E09000021,Kingston upon Thames,2017,Own.Outright,21500,3400,33,5.3
E09000022,Lambeth,2017,Own.Outright,27200,6600,20.1,4.9
E09000023,Lewisham,2017,Own.Outright,19700,4700,16.3,3.9
E09000024,Merton,2017,Own.Outright,24500,4400,29.4,5.2
E09000025,Newham,2017,Own.Outright,18200,4900,15.9,4.2
E09000026,Redbridge,2017,Own.Outright,27800,4500,28.1,4.6
E09000027,Richmond upon Thames,2017,Own.Outright,29000,4300,36.1,5.3
E09000028,Southwark,2017,Own.Outright,16500,4400,12.8,3.4
E09000029,Sutton,2017,Own.Outright,29000,4300,36.3,5.4
E09000030,Tower Hamlets,2017,Own.Outright,12400,4100,10.6,3.5
E09000031,Waltham Forest,2017,Own.Outright,18000,4400,18.9,4.6
E09000032,Wandsworth,2017,Own.Outright,27100,6000,21.5,4.8
E09000033,Westminster,2017,Own.Outright,18500,4000,17.4,3.8
E13000001,Inner London,2017,Own.Outright,252900,16000,17.9,1.1
E13000002,Outer London,2017,Own.Outright,553600,21900,28.5,1.1
E12000001,North East,2017,Own.Outright,378600,11400,33,1
E12000002,North West,2017,Own.Outright,864000,20700,35.3,0.8
E12000003,Yorkshire and The Humber,2017,Own.Outright,759100,20600,33.4,0.9
E12000004,East Midlands,2017,Own.Outright,668000,23600,34.2,1.2
E12000005,West Midlands,2017,Own.Outright,845700,22100,36,0.9
E12000006,East of England,2017,Own.Outright,885200,26300,35.3,1
E12000007,London,2017,Own.Outright,811000,27400,24.1,0.8
E12000008,South East,2017,Own.Outright,1329900,28600,36.6,0.8
E12000009,South West,2017,Own.Outright,896800,21300,38.6,0.9
W92000004,Wales,2017,Own.Outright,554300,10500,41.4,0.8
S92000003,Scotland,2017,Own.Outright,875600,17200,35.7,0.7
N92000002,Northern Ireland,2017,Own.Outright,259800,13500,34.5,1.8
K02000001,UK,2017,Own.Outright,9128000,69400,34.4,0.3
E09000001,City of London,2016,Own.Outright,-,-,-,-
E09000002,Barking and Dagenham,2016,Own.Outright,11800,2900,17.5,4.2
E09000003,Barnet,2016,Own.Outright,46200,7200,32.4,5
E09000004,Bexley,2016,Own.Outright,36500,4700,37.5,4.9
E09000005,Brent,2016,Own.Outright,20500,4200,20,4.1
E09000006,Bromley,2016,Own.Outright,47100,6600,34.9,4.9
E09000007,Camden,2016,Own.Outright,24600,4700,22.6,4.3
E09000008,Croydon,2016,Own.Outright,35800,6300,24.1,4.3
E09000009,Ealing,2016,Own.Outright,35800,6500,30.2,5.5
E09000010,Enfield,2016,Own.Outright,35200,6300,27.8,4.9
E09000011,Greenwich,2016,Own.Outright,16800,4300,15.7,4
E09000012,Hackney,2016,Own.Outright,14500,4000,12.9,3.5
E09000013,Hammersmith and Fulham,2016,Own.Outright,18400,3500,24.4,4.6
E09000014,Haringey,2016,Own.Outright,20000,3900,20.4,4
E09000015,Harrow,2016,Own.Outright,28900,4500,32.4,5.1
E09000016,Havering,2016,Own.Outright,37800,5200,37.4,5.2
E09000017,Hillingdon,2016,Own.Outright,27300,5000,25.7,4.7
E09000018,Hounslow,2016,Own.Outright,24100,5100,25.4,5.4
E09000019,Islington,2016,Own.Outright,16700,4000,16.1,3.8
E09000020,Kensington and Chelsea,2016,Own.Outright,19200,3000,27.9,4.4
E09000021,Kingston upon Thames,2016,Own.Outright,21500,3400,33,5.3
E09000022,Lambeth,2016,Own.Outright,27200,6600,20.1,4.9
E09000023,Lewisham,2016,Own.Outright,19700,4700,16.3,3.9
E09000024,Merton,2016,Own.Outright,24500,4400,29.4,5.2
E09000025,Newham,2016,Own.Outright,18200,4900,15.9,4.2
E09000026,Redbridge,2016,Own.Outright,27800,4500,28.1,4.6
E09000027,Richmond upon Thames,2016,Own.Outright,29000,4300,36.1,5.3
E09000028,Southwark,2016,Own.Outright,16500,4400,12.8,3.4
E09000029,Sutton,2016,Own.Outright,29000,4300,36.3,5.4
E09000030,Tower Hamlets,2016,Own.Outright,12400,4100,10.6,3.5
E09000031,Waltham Forest,2016,Own.Outright,18000,4400,18.9,4.6
E09000032,Wandsworth,2016,Own.Outright,27100,6000,21.5,4.8
E09000033,Westminster,2016,Own.Outright,18500,4000,17.4,3.8
E13000001,Inner London,2016,Own.Outright,252900,16000,17.9,1.1
E13000002,Outer London,2016,Own.Outright,553600,21900,28.5,1.1
E12000001,North East,2016,Own.Outright,378600,11400,33,1
E12000002,North West,2016,Own.Outright,864000,20700,35.3,0.8
E12000003,Yorkshire and The Humber,2016,Own.Outright,759100,20600,33.4,0.9
E12000004,East Midlands,2016,Own.Outright,668000,23600,34.2,1.2
E12000005,West Midlands,2016,Own.Outright,845700,22100,36,0.9
E12000006,East of England,2016,Own.Outright,885200,26300,35.3,1
E12000007,London,2016,Own.Outright,811000,27400,24.1,0.8
E12000008,South East,2016,Own.Outright,1329900,28600,36.6,0.8
E12000009,South West,2016,Own.Outright,896800,21300,38.6,0.9
W92000004,Wales,2016,Own.Outright,554300,10500,41.4,0.8
S92000003,Scotland,2016,Own.Outright,875600,17200,35.7,0.7
N92000002,Northern Ireland,2016,Own.Outright,259800,13500,34.5,1.8
K02000001,UK,2016,Own.Outright,9128000,69400,34.4,0.3
E09000001,City of London,2015,Own.Outright,-,-,-,-
E09000002,Barking and Dagenham,2015,Own.Outright,11800,2900,17.5,4.2
E09000003,Barnet,2015,Own.Outright,46200,7200,32.4,5
E09000004,Bexley,2015,Own.Outright,36500,4700,37.5,4.9
E09000005,Brent,2015,Own.Outright,20500,4200,20,4.1
E09000006,Bromley,2015,Own.Outright,47100,6600,34.9,4.9
E09000007,Camden,2015,Own.Outright,24600,4700,22.6,4.3
E09000008,Croydon,2015,Own.Outright,35800,6300,24.1,4.3
E09000009,Ealing,2015,Own.Outright,35800,6500,30.2,5.5
E09000010,Enfield,2015,Own.Outright,35200,6300,27.8,4.9
E09000011,Greenwich,2015,Own.Outright,16800,4300,15.7,4
E09000012,Hackney,2015,Own.Outright,14500,4000,12.9,3.5
E09000013,Hammersmith and Fulham,2015,Own.Outright,18400,3500,24.4,4.6
E09000014,Haringey,2015,Own.Outright,20000,3900,20.4,4
E09000015,Harrow,2015,Own.Outright,28900,4500,32.4,5.1
E09000016,Havering,2015,Own.Outright,37800,5200,37.4,5.2
E09000017,Hillingdon,2015,Own.Outright,27300,5000,25.7,4.7
E09000018,Hounslow,2015,Own.Outright,24100,5100,25.4,5.4
E09000019,Islington,2015,Own.Outright,16700,4000,16.1,3.8
E09000020,Kensington and Chelsea,2015,Own.Outright,19200,3000,27.9,4.4
E09000021,Kingston upon Thames,2015,Own.Outright,21500,3400,33,5.3
E09000022,Lambeth,2015,Own.Outright,27200,6600,20.1,4.9
E09000023,Lewisham,2015,Own.Outright,19700,4700,16.3,3.9
E09000024,Merton,2015,Own.Outright,24500,4400,29.4,5.2
E09000025,Newham,2015,Own.Outright,18200,4900,15.9,4.2
E09000026,Redbridge,2015,Own.Outright,27800,4500,28.1,4.6
E09000027,Richmond upon Thames,2015,Own.Outright,29000,4300,36.1,5.3
E09000028,Southwark,2015,Own.Outright,16500,4400,12.8,3.4
E09000029,Sutton,2015,Own.Outright,29000,4300,36.3,5.4
E09000030,Tower Hamlets,2015,Own.Outright,12400,4100,10.6,3.5
E09000031,Waltham Forest,2015,Own.Outright,18000,4400,18.9,4.6
E09000032,Wandsworth,2015,Own.Outright,27100,6000,21.5,4.8
E09000033,Westminster,2015,Own.Outright,18500,4000,17.4,3.8
E13000001,Inner London,2015,Own.Outright,252900,16000,17.9,1.1
E13000002,Outer London,2015,Own.Outright,553600,21900,28.5,1.1
E12000001,North East,2015,Own.Outright,378600,11400,33,1
E12000002,North West,2015,Own.Outright,864000,20700,35.3,0.8
E12000003,Yorkshire and The Humber,2015,Own.Outright,759100,20600,33.4,0.9
E12000004,East Midlands,2015,Own.Outright,668000,23600,34.2,1.2
E12000005,West Midlands,2015,Own.Outright,845700,22100,36,0.9
E12000006,East of England,2015,Own.Outright,885200,26300,35.3,1
E12000007,London,2015,Own.Outright,811000,27400,24.1,0.8
E12000008,South East,2015,Own.Outright,1329900,28600,36.6,0.8
E12000009,South West,2015,Own.Outright,896800,21300,38.6,0.9
W92000004,Wales,2015,Own.Outright,554300,10500,41.4,0.8
S92000003,Scotland,2015,Own.Outright,875600,17200,35.7,0.7
N92000002,Northern Ireland,2015,Own.Outright,259800,13500,34.5,1.8
K02000001,UK,2015,Own.Outright,9128000,69400,34.4,0.3
E09000001,City of London,2014,Own.Outright,-,-,-,-
E09000002,Barking and Dagenham,2014,Own.Outright,11800,2900,17.5,4.2
E09000003,Barnet,2014,Own.Outright,46200,7200,32.4,5
E09000004,Bexley,2014,Own.Outright,36500,4700,37.5,4.9
E09000005,Brent,2014,Own.Outright,20500,4200,20,4.1
E09000006,Bromley,2014,Own.Outright,47100,6600,34.9,4.9
E09000007,Camden,2014,Own.Outright,24600,4700,22.6,4.3
E09000008,Croydon,2014,Own.Outright,35800,6300,24.1,4.3
E09000009,Ealing,2014,Own.Outright,35800,6500,30.2,5.5
E09000010,Enfield,2014,Own.Outright,35200,6300,27.8,4.9
E09000011,Greenwich,2014,Own.Outright,16800,4300,15.7,4
E09000012,Hackney,2014,Own.Outright,14500,4000,12.9,3.5
E09000013,Hammersmith and Fulham,2014,Own.Outright,18400,3500,24.4,4.6
E09000014,Haringey,2014,Own.Outright,20000,3900,20.4,4
E09000015,Harrow,2014,Own.Outright,28900,4500,32.4,5.1
E09000016,Havering,2014,Own.Outright,37800,5200,37.4,5.2
E09000017,Hillingdon,2014,Own.Outright,27300,5000,25.7,4.7
E09000018,Hounslow,2014,Own.Outright,24100,5100,25.4,5.4
E09000019,Islington,2014,Own.Outright,16700,4000,16.1,3.8
E09000020,Kensington and Chelsea,2014,Own.Outright,19200,3000,27.9,4.4
E09000021,Kingston upon Thames,2014,Own.Outright,21500,3400,33,5.3
E09000022,Lambeth,2014,Own.Outright,27200,6600,20.1,4.9
E09000023,Lewisham,2014,Own.Outright,19700,4700,16.3,3.9
E09000024,Merton,2014,Own.Outright,24500,4400,29.4,5.2
E09000025,Newham,2014,Own.Outright,18200,4900,15.9,4.2
E09000026,Redbridge,2014,Own.Outright,27800,4500,28.1,4.6
E09000027,Richmond upon Thames,2014,Own.Outright,29000,4300,36.1,5.3
E09000028,Southwark,2014,Own.Outright,16500,4400,12.8,3.4
E09000029,Sutton,2014,Own.Outright,29000,4300,36.3,5.4
E09000030,Tower Hamlets,2014,Own.Outright,12400,4100,10.6,3.5
E09000031,Waltham Forest,2014,Own.Outright,18000,4400,18.9,4.6
E09000032,Wandsworth,2014,Own.Outright,27100,6000,21.5,4.8
E09000033,Westminster,2014,Own.Outright,18500,4000,17.4,3.8
E13000001,Inner London,2014,Own.Outright,252900,16000,17.9,1.1
E13000002,Outer London,2014,Own.Outright,553600,21900,28.5,1.1
E12000001,North East,2014,Own.Outright,378600,11400,33,1
E12000002,North West,2014,Own.Outright,864000,20700,35.3,0.8
E12000003,Yorkshire and The Humber,2014,Own.Outright,759100,20600,33.4,0.9
E12000004,East Midlands,2014,Own.Outright,668000,23600,34.2,1.2
E12000005,West Midlands,2014,Own.Outright,845700,22100,36,0.9
E12000006,East of England,2014,Own.Outright,885200,26300,35.3,1
E12000007,London,2014,Own.Outright,811000,27400,24.1,0.8
E12000008,South East,2014,Own.Outright,1329900,28600,36.6,0.8
E12000009,South West,2014,Own.Outright,896800,21300,38.6,0.9
W92000004,Wales,2014,Own.Outright,554300,10500,41.4,0.8
S92000003,Scotland,2014,Own.Outright,875600,17200,35.7,0.7
N92000002,Northern Ireland,2014,Own.Outright,259800,13500,34.5,1.8
K02000001,UK,2014,Own.Outright,9128000,69400,34.4,0.3
E09000001,City of London,2013,Own.Outright,-,-,-,-
E09000002,Barking and Dagenham,2013,Own.Outright,11800,2900,17.5,4.2
E09000003,Barnet,2013,Own.Outright,46200,7200,32.4,5
E09000004,Bexley,2013,Own.Outright,36500,4700,37.5,4.9
E09000005,Brent,2013,Own.Outright,20500,4200,20,4.1
E09000006,Bromley,2013,Own.Outright,47100,6600,34.9,4.9
E09000007,Camden,2013,Own.Outright,24600,4700,22.6,4.3
E09000008,Croydon,2013,Own.Outright,35800,6300,24.1,4.3
E09000009,Ealing,2013,Own.Outright,35800,6500,30.2,5.5
E09000010,Enfield,2013,Own.Outright,35200,6300,27.8,4.9
E09000011,Greenwich,2013,Own.Outright,16800,4300,15.7,4
E09000012,Hackney,2013,Own.Outright,14500,4000,12.9,3.5
E09000013,Hammersmith and Fulham,2013,Own.Outright,18400,3500,24.4,4.6
E09000014,Haringey,2013,Own.Outright,20000,3900,20.4,4
E09000015,Harrow,2013,Own.Outright,28900,4500,32.4,5.1
E09000016,Havering,2013,Own.Outright,37800,5200,37.4,5.2
E09000017,Hillingdon,2013,Own.Outright,27300,5000,25.7,4.7
E09000018,Hounslow,2013,Own.Outright,24100,5100,25.4,5.4
E09000019,Islington,2013,Own.Outright,16700,4000,16.1,3.8
E09000020,Kensington and Chelsea,2013,Own.Outright,19200,3000,27.9,4.4
E09000021,Kingston upon Thames,2013,Own.Outright,21500,3400,33,5.3
E09000022,Lambeth,2013,Own.Outright,27200,6600,20.1,4.9
E09000023,Lewisham,2013,Own.Outright,19700,4700,16.3,3.9
E09000024,Merton,2013,Own.Outright,24500,4400,29.4,5.2
E09000025,Newham,2013,Own.Outright,18200,4900,15.9,4.2
E09000026,Redbridge,2013,Own.Outright,27800,4500,28.1,4.6
E09000027,Richmond upon Thames,2013,Own.Outright,29000,4300,36.1,5.3
E09000028,Southwark,2013,Own.Outright,16500,4400,12.8,3.4
E09000029,Sutton,2013,Own.Outright,29000,4300,36.3,5.4
E09000030,Tower Hamlets,2013,Own.Outright,12400,4100,10.6,3.5
E09000031,Waltham Forest,2013,Own.Outright,18000,4400,18.9,4.6
E09000032,Wandsworth,2013,Own.Outright,27100,6000,21.5,4.8
E09000033,Westminster,2013,Own.Outright,18500,4000,17.4,3.8
E13000001,Inner London,2013,Own.Outright,252900,16000,17.9,1.1
E13000002,Outer London,2013,Own.Outright,553600,21900,28.5,1.1
E12000001,North East,2013,Own.Outright,378600,11400,33,1
E12000002,North West,2013,Own.Outright,864000,20700,35.3,0.8
E12000003,Yorkshire and The Humber,2013,Own.Outright,759100,20600,33.4,0.9
E12000004,East Midlands,2013,Own.Outright,668000,23600,34.2,1.2
E12000005,West Midlands,2013,Own.Outright,845700,22100,36,0.9
E12000006,East of England,2013,Own.Outright,885200,26300,35.3,1
E12000007,London,2013,Own.Outright,811000,27400,24.1,0.8
E12000008,South East,2013,Own.Outright,1329900,28600,36.6,0.8
E12000009,South West,2013,Own.Outright,896800,21300,38.6,0.9
W92000004,Wales,2013,Own.Outright,554300,10500,41.4,0.8
S92000003,Scotland,2013,Own.Outright,875600,17200,35.7,0.7
N92000002,Northern Ireland,2013,Own.Outright,259800,13500,34.5,1.8
K02000001,UK,2013,Own.Outright,9128000,69400,34.4,0.3
E09000001,City of London,2012,Own.Outright,-,-,-,-
E09000002,Barking and Dagenham,2012,Own.Outright,11800,2900,17.5,4.2
E09000003,Barnet,2012,Own.Outright,46200,7200,32.4,5
E09000004,Bexley,2012,Own.Outright,36500,4700,37.5,4.9
E09000005,Brent,2012,Own.Outright,20500,4200,20,4.1
E09000006,Bromley,2012,Own.Outright,47100,6600,34.9,4.9
E09000007,Camden,2012,Own.Outright,24600,4700,22.6,4.3
E09000008,Croydon,2012,Own.Outright,35800,6300,24.1,4.3
E09000009,Ealing,2012,Own.Outright,35800,6500,30.2,5.5
E09000010,Enfield,2012,Own.Outright,35200,6300,27.8,4.9
E09000011,Greenwich,2012,Own.Outright,16800,4300,15.7,4
E09000012,Hackney,2012,Own.Outright,14500,4000,12.9,3.5
E09000013,Hammersmith and Fulham,2012,Own.Outright,18400,3500,24.4,4.6
E09000014,Haringey,2012,Own.Outright,20000,3900,20.4,4
E09000015,Harrow,2012,Own.Outright,28900,4500,32.4,5.1
E09000016,Havering,2012,Own.Outright,37800,5200,37.4,5.2
E09000017,Hillingdon,2012,Own.Outright,27300,5000,25.7,4.7
E09000018,Hounslow,2012,Own.Outright,24100,5100,25.4,5.4
E09000019,Islington,2012,Own.Outright,16700,4000,16.1,3.8
E09000020,Kensington and Chelsea,2012,Own.Outright,19200,3000,27.9,4.4
E09000021,Kingston upon Thames,2012,Own.Outright,21500,3400,33,5.3
E09000022,Lambeth,2012,Own.Outright,27200,6600,20.1,4.9
E09000023,Lewisham,2012,Own.Outright,19700,4700,16.3,3.9
E09000024,Merton,2012,Own.Outright,24500,4400,29.4,5.2
E09000025,Newham,2012,Own.Outright,18200,4900,15.9,4.2
E09000026,Redbridge,2012,Own.Outright,27800,4500,28.1,4.6
E09000027,Richmond upon Thames,2012,Own.Outright,29000,4300,36.1,5.3
E09000028,Southwark,2012,Own.Outright,16500,4400,12.8,3.4
E09000029,Sutton,2012,Own.Outright,29000,4300,36.3,5.4
E09000030,Tower Hamlets,2012,Own.Outright,12400,4100,10.6,3.5
E09000031,Waltham Forest,2012,Own.Outright,18000,4400,18.9,4.6
E09000032,Wandsworth,2012,Own.Outright,27100,6000,21.5,4.8
E09000033,Westminster,2012,Own.Outright,18500,4000,17.4,3.8
E13000001,Inner London,2012,Own.Outright,252900,16000,17.9,1.1
E13000002,Outer London,2012,Own.Outright,553600,21900,28.5,1.1
E12000001,North East,2012,Own.Outright,378600,11400,33,1
E12000002,North West,2012,Own.Outright,864000,20700,35.3,0.8
E12000003,Yorkshire and The Humber,2012,Own.Outright,759100,20600,33.4,0.9
E12000004,East Midlands,2012,Own.Outright,668000,23600,34.2,1.2
E12000005,West Midlands,2012,Own.Outright,845700,22100,36,0.9
E12000006,East of England,2012,Own.Outright,885200,26300,35.3,1
E12000007,London,2012,Own.Outright,811000,27400,24.1,0.8
E12000008,South East,2012,Own.Outright,1329900,28600,36.6,0.8
E12000009,South West,2012,Own.Outright,896800,21300,38.6,0.9
W92000004,Wales,2012,Own.Outright,554300,10500,41.4,0.8
S92000003,Scotland,2012,Own.Outright,875600,17200,35.7,0.7
N92000002,Northern Ireland,2012,Own.Outright,259800,13500,34.5,1.8
K02000001,UK,2012,Own.Outright,9128000,69400,34.4,0.3
E09000001,City of London,2011,Own.Outright,-,-,-,-
E09000002,Barking and Dagenham,2011,Own.Outright,11800,2900,17.5,4.2
E09000003,Barnet,2011,Own.Outright,46200,7200,32.4,5
E09000004,Bexley,2011,Own.Outright,36500,4700,37.5,4.9
E09000005,Brent,2011,Own.Outright,20500,4200,20,4.1
E09000006,Bromley,2011,Own.Outright,47100,6600,34.9,4.9
E09000007,Camden,2011,Own.Outright,24600,4700,22.6,4.3
E09000008,Croydon,2011,Own.Outright,35800,6300,24.1,4.3
E09000009,Ealing,2011,Own.Outright,35800,6500,30.2,5.5
E09000010,Enfield,2011,Own.Outright,35200,6300,27.8,4.9
E09000011,Greenwich,2011,Own.Outright,16800,4300,15.7,4
E09000012,Hackney,2011,Own.Outright,14500,4000,12.9,3.5
E09000013,Hammersmith and Fulham,2011,Own.Outright,18400,3500,24.4,4.6
E09000014,Haringey,2011,Own.Outright,20000,3900,20.4,4
E09000015,Harrow,2011,Own.Outright,28900,4500,32.4,5.1
E09000016,Havering,2011,Own.Outright,37800,5200,37.4,5.2
E09000017,Hillingdon,2011,Own.Outright,27300,5000,25.7,4.7
E09000018,Hounslow,2011,Own.Outright,24100,5100,25.4,5.4
E09000019,Islington,2011,Own.Outright,16700,4000,16.1,3.8
E09000020,Kensington and Chelsea,2011,Own.Outright,19200,3000,27.9,4.4
E09000021,Kingston upon Thames,2011,Own.Outright,21500,3400,33,5.3
E09000022,Lambeth,2011,Own.Outright,27200,6600,20.1,4.9
E09000023,Lewisham,2011,Own.Outright,19700,4700,16.3,3.9
E09000024,Merton,2011,Own.Outright,24500,4400,29.4,5.2
E09000025,Newham,2011,Own.Outright,18200,4900,15.9,4.2
E09000026,Redbridge,2011,Own.Outright,27800,4500,28.1,4.6
E09000027,Richmond upon Thames,2011,Own.Outright,29000,4300,36.1,5.3
E09000028,Southwark,2011,Own.Outright,16500,4400,12.8,3.4
E09000029,Sutton,2011,Own.Outright,29000,4300,36.3,5.4
E09000030,Tower Hamlets,2011,Own.Outright,12400,4100,10.6,3.5
E09000031,Waltham Forest,2011,Own.Outright,18000,4400,18.9,4.6
E09000032,Wandsworth,2011,Own.Outright,27100,6000,21.5,4.8
E09000033,Westminster,2011,Own.Outright,18500,4000,17.4,3.8
E13000001,Inner London,2011,Own.Outright,252900,16000,17.9,1.1
E13000002,Outer London,2011,Own.Outright,553600,21900,28.5,1.1
E12000001,North East,2011,Own.Outright,378600,11400,33,1
E12000002,North West,2011,Own.Outright,864000,20700,35.3,0.8
E12000003,Yorkshire and The Humber,2011,Own.Outright,759100,20600,33.4,0.9
E12000004,East Midlands,2011,Own.Outright,668000,23600,34.2,1.2
E12000005,West Midlands,2011,Own.Outright,845700,22100,36,0.9
E12000006,East of England,2011,Own.Outright,885200,26300,35.3,1
E12000007,London,2011,Own.Outright,811000,27400,24.1,0.8
E12000008,South East,2011,Own.Outright,1329900,28600,36.6,0.8
E12000009,South West,2011,Own.Outright,896800,21300,38.6,0.9
W92000004,Wales,2011,Own.Outright,554300,10500,41.4,0.8
S92000003,Scotland,2011,Own.Outright,875600,17200,35.7,0.7
N92000002,Northern Ireland,2011,Own.Outright,259800,13500,34.5,1.8
K02000001,UK,2011,Own.Outright,9128000,69400,34.4,0.3
E09000001,City of London,2010,Own.Outright,-,-,-,-
E09000002,Barking and Dagenham,2010,Own.Outright,11800,2900,17.5,4.2
E09000003,Barnet,2010,Own.Outright,46200,7200,32.4,5
E09000004,Bexley,2010,Own.Outright,36500,4700,37.5,4.9
E09000005,Brent,2010,Own.Outright,20500,4200,20,4.1
E09000006,Bromley,2010,Own.Outright,47100,6600,34.9,4.9
E09000007,Camden,2010,Own.Outright,24600,4700,22.6,4.3
E09000008,Croydon,2010,Own.Outright,35800,6300,24.1,4.3
E09000009,Ealing,2010,Own.Outright,35800,6500,30.2,5.5
E09000010,Enfield,2010,Own.Outright,35200,6300,27.8,4.9
E09000011,Greenwich,2010,Own.Outright,16800,4300,15.7,4
E09000012,Hackney,2010,Own.Outright,14500,4000,12.9,3.5
E09000013,Hammersmith and Fulham,2010,Own.Outright,18400,3500,24.4,4.6
E09000014,Haringey,2010,Own.Outright,20000,3900,20.4,4
E09000015,Harrow,2010,Own.Outright,28900,4500,32.4,5.1
E09000016,Havering,2010,Own.Outright,37800,5200,37.4,5.2
E09000017,Hillingdon,2010,Own.Outright,27300,5000,25.7,4.7
E09000018,Hounslow,2010,Own.Outright,24100,5100,25.4,5.4
E09000019,Islington,2010,Own.Outright,16700,4000,16.1,3.8
E09000020,Kensington and Chelsea,2010,Own.Outright,19200,3000,27.9,4.4
E09000021,Kingston upon Thames,2010,Own.Outright,21500,3400,33,5.3
E09000022,Lambeth,2010,Own.Outright,27200,6600,20.1,4.9
